
=== 2026-05-27T21:02:13.450305+00:00 golang pid=718789 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:02:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:07:37 PM  1000    722070   12.00   85.00    0.00    0.00   97.00    22  proxy-go
02:07:38 PM  1000    722070   14.00   95.00    0.00    0.00  109.00    22  proxy-go
02:07:39 PM  1000    722070   12.00   88.00    0.00    0.00  100.00    22  proxy-go
02:07:40 PM  1000    722070   13.00   93.00    0.00    0.00  106.00    22  proxy-go
02:07:41 PM  1000    722070   14.00   93.00    0.00    0.00  107.00    22  proxy-go
02:07:42 PM  1000    722070   12.00   84.00    0.00    0.00   96.00    22  proxy-go
02:07:43 PM  1000    722070   10.00   86.00    0.00    0.00   96.00    22  proxy-go
02:07:44 PM  1000    722070   14.00   89.00    0.00    0.00  103.00    22  proxy-go
02:07:45 PM  1000    722070   11.00   90.00    0.00    0.00  101.00    22  proxy-go
02:07:46 PM  1000    722070   13.00   88.00    0.00    0.00  101.00    22  proxy-go
02:07:47 PM  1000    722070   13.00   85.00    0.00    0.00   98.00    22  proxy-go
02:07:48 PM  1000    722070   17.00   97.00    0.00    0.00  114.00    22  proxy-go
02:07:49 PM  1000    722070   14.00   88.00    0.00    0.00  102.00    22  proxy-go
02:07:50 PM  1000    722070   13.00   95.00    0.00    0.00  108.00    22  proxy-go
02:07:51 PM  1000    722070   13.00   97.00    0.00    0.00  110.00    22  proxy-go
02:07:52 PM  1000    722070   15.00   93.00    0.00    0.00  108.00    22  proxy-go
02:07:53 PM  1000    722070   13.00   88.00    0.00    0.00  101.00    22  proxy-go
02:07:54 PM  1000    722070   14.00   96.00    0.00    0.00  110.00    22  proxy-go
02:07:55 PM  1000    722070   13.00   95.00    0.00    0.00  108.00    22  proxy-go
02:07:56 PM  1000    722070   13.00   89.00    0.00    0.00  102.00    22  proxy-go
02:07:57 PM  1000    722070   11.00   90.00    0.00    0.00  101.00    22  proxy-go
02:07:58 PM  1000    722070   12.00   83.00    0.00    0.00   95.00    22  proxy-go
02:07:59 PM  1000    722070   14.00   97.00    0.00    0.00  111.00    22  proxy-go
02:08:00 PM  1000    722070   12.00   95.00    0.00    0.00  107.00    22  proxy-go
02:08:01 PM  1000    722070   14.00   96.00    0.00    0.00  110.00    22  proxy-go
02:08:02 PM  1000    722070   17.00   98.00    0.00    0.00  115.00    22  proxy-go
Average:     1000    722070   13.07   91.17    0.00    0.00  104.23     -  proxy-go

=== 2026-05-27T21:12:05.113865+00:00 golang pid=725434 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:12:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:06 PM  1000    725434    9.00   77.00    0.00    0.00   86.00     6  proxy-go
02:12:07 PM  1000    725434    9.00   85.00    0.00    0.00   94.00     6  proxy-go
02:12:08 PM  1000    725434   12.00   85.00    0.00    0.00   97.00     6  proxy-go
02:12:09 PM  1000    725434   10.00   85.00    0.00    0.00   95.00     6  proxy-go
02:12:10 PM  1000    725434   15.00   91.00    0.00    0.00  106.00     6  proxy-go
02:12:11 PM  1000    725434   10.00   82.00    0.00    0.00   92.00     6  proxy-go
02:12:12 PM  1000    725434   10.00   84.00    0.00    0.00   94.00     6  proxy-go
02:12:13 PM  1000    725434   13.00   84.00    0.00    0.00   97.00     6  proxy-go
02:12:14 PM  1000    725434   12.00   86.00    0.00    0.00   98.00     6  proxy-go
02:12:15 PM  1000    725434   13.00   86.00    0.00    0.00   99.00     6  proxy-go
02:12:16 PM  1000    725434   11.00   81.00    0.00    0.00   92.00     6  proxy-go
02:12:17 PM  1000    725434   13.00   84.00    0.00    0.00   97.00     6  proxy-go
02:12:18 PM  1000    725434   12.00   87.00    0.00    0.00   99.00     6  proxy-go
02:12:19 PM  1000    725434   14.00   97.00    0.00    0.00  111.00     6  proxy-go
