
=== 2026-05-27T21:00:42.142177+00:00 tokio-splice2 pid=717482 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:00:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:04:37 PM  1000    720307   12.00   98.00    0.00    0.00  110.00    22  proxy
02:04:38 PM  1000    720307   10.00  101.00    0.00    0.00  111.00    22  proxy
02:04:39 PM  1000    720307   10.00  101.00    0.00    0.00  111.00    22  proxy
02:04:40 PM  1000    720307   10.00  100.00    0.00    0.00  110.00    22  proxy
02:04:41 PM  1000    720307   12.00   98.00    0.00    0.00  110.00    22  proxy
02:04:42 PM  1000    720307   10.00  100.00    0.00    0.00  110.00    22  proxy
02:04:43 PM  1000    720307   11.00  100.00    0.00    0.00  111.00    22  proxy
02:04:44 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
02:04:45 PM  1000    720307   10.00   99.00    0.00    0.00  109.00    22  proxy
02:04:46 PM  1000    720307   10.00  102.00    0.00    0.00  112.00    22  proxy
02:04:47 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
02:04:48 PM  1000    720307    9.00  103.00    0.00    0.00  112.00    22  proxy
02:04:49 PM  1000    720307   11.00  100.00    0.00    0.00  111.00    22  proxy
02:04:50 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
02:04:51 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
02:04:52 PM  1000    720307   12.00   99.00    0.00    0.00  111.00    22  proxy
02:04:53 PM  1000    720307   10.00  101.00    0.00    0.00  111.00    22  proxy
02:04:54 PM  1000    720307   11.00   98.00    0.00    0.00  109.00    22  proxy
02:04:55 PM  1000    720307    9.00  100.00    0.00    0.00  109.00    22  proxy
02:04:56 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
02:04:57 PM  1000    720307   10.00   98.00    0.00    0.00  108.00    22  proxy
02:04:58 PM  1000    720307    9.00  101.00    0.00    0.00  110.00    22  proxy
02:04:59 PM  1000    720307   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:00 PM  1000    720307   11.00   99.00    0.00    0.00  110.00    22  proxy
Average:     1000    720307   10.37   99.47    0.00    0.00  109.83     -  proxy

=== 2026-05-27T21:05:15.751460+00:00 tokio-splice2 pid=720580 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:05:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:05:16 PM  1000    720580    7.00   66.00    0.00    0.00   73.00    22  proxy
